# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Username,Comment,vader_sentiment
Jessy,Is there any online website we can buy the tawa like used in this video? Anyone knows please share .. thanks,1
Jyotsna Kubal,Fabulous ,1
Kamya Dodia,Hi Sanjyot! Plz let me know which vegeterian fried kebab can be served with this tawa pulav,1
Tanushree GharKonna,Wow yummy ,1
Pratiksha Pandya,Amazing.,1
Shaiva Kitchen,delicious recipe,1
robin felix,Very nice.,1
Dns,Superb  ,1
Shashank Joshi,Very nice  ,1
Trushi Parekh,Wow ️,1
🌀Divine,I checked the non veg playlist and its doesn't have afghani chicken  i would like to see how will you make it,1
Faraz Ahmed Siddiqui,Chef Please make Mutton Pickle Recipe  Eid Special,1
ramsha,I have an important question in my home we have kitchen king rice so would I need to soak it or not?,1
Sandra vlogs y recetas,Great recipe ️,1
Chetan Naik,My favorite!,1
Dr Pooja Dadhaniya,Plz make video on dhaba style  any paneer sabji .. all indian ladies want this type of recipe whenever guest come,1
MsArchana1,For the first time I have seen butter is used to make chutney and so much of  extra spicess. This can be used a ready made curry type for variety of veggies.. all look really  tempting... A...Ha..very Hot !!,1
Hansi Agarwal,Too good .,1
Trupti Dalal,nice ,1
MRUNAL KULKARNI,Yummy  please show tiffin recipes for children Sir,1
Anvita's World,Hey sanjyot sir why you not try Maharashtrian patavad rass recepie please do this ..,1
Salma Shaikh🇦🇪,In Love wit ur cooking style....,1
Shubha Mohite,Superb,1
Hari Om Scientific Traders,"Thanks for this recipe, bcz i love tawa pulao.",1
recipes vlogs, wow nice recipe sir,1
OM BAHEKAR,Please show street style pav bhaji,1
sulekha Saraj,perfect ,1
Love n Food,Yummy,1
Shalu's Cooking House,"Superb receipe sir 
Please make paneer Or veg chatpat receipe",1
Priya Andhare,Super chef...super recipes..this is 2nd time I'll done  bt one suggestion plz kids tiffen ke liye kuch vedio dala...it's trueing help for monther....,1
Shanu Smuzu,Amazing Colour of the dish,1
manali shah,Please make the video for Veg. Dalcha,1
Chirag Fatepara,I am going to make it today so delicious,1
Vipul Makwana,Very nice,1
Nandini Sunil Agrawal,What can we use in place of Kashmiri Lal mirch for the chutney like we don't have fresh chilli so can we use kashmiri red chilli powder,1
mayuresh nirgun,Excellent Chef Sanjyot,1
omkar kurtkoti,Bhai dekhte hi khaane ka mann karta hai.. iss sunday ka menu mil gaya.. thanks ,1
manjushri gavali,Chef could you plz share kashmiri pulao or any rice recipe,1
sonali mirani,Please do tell us where did you purchase this tawa from,1
Lucas Pickford,Please add English subtitles.,1
Daksha Trivedi,Nice,1
SS,best chef,1
Shamli Potdar,Waiting for Authentic layered veg biryani pls pls,1
Divyanka Sharad,"I very much like your all punjabi dishes bt i want to see all marathi veg receipes including all sabji receipes also simple & daily breakfast receipes 
 So pl show it in your yfl",1
Rajasekar Ramalingam,"Superb bro.
Easy to Understand and easy to make.",1
Abhijeet Majumdar,Please make a video on Basanti Pulao,1
Sunita Joshi,"Hi , Superb!!!",1
Kinal Gogri,can you please share which mixer grinder do you use,1
Bindu Vyas,Very nice will make  soon thanks,1
mamta Mhatre,Sir please make a video on  kepsa biryani recipe......,1
S Debboo,Awesome,1
PRAJAKTA PALSULE,Kya baat hai chef too yummy,1
Hemangini Shah,Can you please share the recipe of raita to go with this,1
Shalini Nevhar,Maine first Time Apki pav bhaji recepie ghar me banai and husbands reaction like not possible this pav bhaji bye you  and then I showed him your page then hi and me both off us huge fan off your recipes we tried deily new recipes thnx for good guidance ,1
Indian Foodie 01,Awesome sir,1
Snehal Shingade,Nice,1
Kanak Panjwani,Amazing,1
Cook With Rachna,Amazing,1
Dhaval Shah,Amazing,1
Vaishnavi Desai,Please do katachi amti and puran poli recipe Maharashtrain style,1
Kalpana More,OMG... so easy way,1
Yasmeen Malik,So delicious ,1
Neelufar asif Sange,So yummy well done  bhai ,1
MGA VINES,Nice ️ want to experiment in my home,1
will,Which of the best selling brands is sela basmati.. Plz reply,1
nishita almeida,Hi.... I have tried many bombay dum biryani... Recipes. But  i didn't get the exact delicious recipes... Please can u reveal the authentic Bombay muslim dum biryani pleeeeeaaaaasssse....,1
Neeraj Mishra,Wow,1
vinay muley,Teach with simple way nice ,1
Shyamkumar Ekhandepatil,Apka fan hu bhai mai delicious recipe,1
Diya Shinde,Sir please make Jalebi recipe . I want to try at home,1
Reena Nagaria,Hi.. pls share some salad's recipes too....,1
Indian Indian,You're best. Brother.,1
varun chadha,Chief please share Amritsari Tawa mutton tikkai recipe,1
Priyanka,Please share rawa cake recipe bakery style,1
Vishal Bakle,Super recipe Pls make Chicken Changazi....,1
K D,"Very simple and best    
Sir can you share raita recipe",1
2 Hetali Baria 8I,Very nice  and you are super cool ,1
Malayappan,Please make veg dum biryani bro,1
jagdish kotian,Super   sir,1
Ankit Dhamani,Perfect street style recipee,1
Laxmi Rajapantula,Bro veg onion pulavresipe  please,1
new world tour,Mane Aaj dekha or banaya sabko bhut achha laga thank you sir,1
Rekha Tilwani,Good,1
Asha latha,Wow  i want,1
Jyoti Kumbhare,I want  crispy shadiyo wali jalebi video plssssssss.....,1
Rishabh Verma,Please make some easy recipes for hostel students,1
Ayush Shinde,Malai mithai ki bhi receipe banaiye ... please please ,1
Nikhil Kumar Naheriwala,"Very nice recipy, sir hame singapuri fried rice ki recipy sikhaye, hamare yaha restaurant me milti hai aisi.",1
Diptee,Ur all recepies awesome ..,1
Shilpa Haria,Yummy.  From where u bought tawa nd pp of tawa?,1
Goyani Sangita,Wow suparb ,1
pragna joshi,Mouthwatering  but I have no big tava any option thank you so much  I from Mumbai,1
Rizwan Kapadia,Waiting yaa i saw on Instagram please upload fast,1
Muskan Sharma,Superb,1
Imran bhai,So yummy. Mai b bnaungi jald hi,1
Isha patel,Hi i want to try this recipe for my guests around 20 people please can you help me how much quantity of rice and vegetables i have to take.,1
statniory gyan,Pls reveal your mixer name and model,1
Hema Chhaya,"One more pav bhaji thela item please "" Masala Pav""",1
pak chinese food secrets,Amazing mashaallah soper delisious,1
Sanjay Chhabra,V nice recipe,1
Shobha Sukheja,Very nice,1
Vishal Bharshankar,nice cooking sir,1
shital darji,too good,1
Gayatri bhakta,You r amazing sir. Testy .....,1
Yummy Food Lab,Thankyou for sharing,1
viraj kumbhar,Nice,1
ranidas,Sir plz share link of rice.,1
Himanshu Jariwala,Sar ji jordar banaya ek number,1
Divyanka Sharad,"My dear Sanjyot ji, i really very very like you & your all receipes only veg receipes
Sorry to say dear cz i know you r married & you made ice cream receipe for your lovely wife
I v v much like your kitchen, your all vessels your receipe background music, your voice, your explained method, your step by step talking method ",1
Vijay Chavan,Waw mast hai resipi  chikan tripal raeis ki resipi chatni sheyr kijiye na please,1
Daya Devi,Please show how to make chakli and snack recipes,1
Tanya Verma,Please share buy link of the tawa,1
Sachin V Gaikwad,Good evening sir ji ... agar gharpe etna bada tawa nhi hai too kya use kar sakte hai ...aur aap k sub recipies main try karta hu aur gharpe bana k khilata hu bahut hi appreciate karte hai tho acha lagta hai...thank you,1
mehjabeen shaikh,save your tawa pulao is amazing,1
Shekhar Vyas,"YFL , FROM SHEKHAR.              AAJ. TAVA PULAV KI RECEIPE. AS PER YOUR. VIDEO STYLE GHAR PAR. BANAI, 100% STREET. STYLE BANI( GHAR PAR BANI. 100%PURE ) CREDIT. TO YFL RECEIPE. SHARE. KARNE KA LIYA, THANKS TO YFL ",1
Nomi A,You are amazing,1
Rozi Rouf,"M apk hi btaye huve recipes try krti hu
Or bilkul perfect bnte h or abb tarif b krte h",1
Food Factory,Can you tell me tha brand name of your grinder? Please!,1
Divyanka Sharad,"I v much like your channel name YFL 
Yesterday i made your aalu bhuna receipe bt not made 100% 
Are punjabi dishes hard to make?? ",1
dipali awale,Very nice receipe dada,1
Rashmi's Passion,Wow,1
Punya Sharma,Very nice,1
Vandana Dangi,Will you marry me? Bcoz I want someone who always cook for me.,1
Kishor Nalawade,Nice video Bhai muze lagata hai ye bhohot tika ho jayega,1
RAHUL KUMAR,Pls sir veg ramen Japanese dish ki recipe bhi share kiji e,1
Talha FooD Lab,you are amazing,1
mariyam sayyed,Chef plz Chinese pulao recipe,1
Ruchita Sathe,This is sooo easy to make,1
Shilpa Matkar,Superb rcp,1
Reeta ki Duniya,Nice tawa pulao,1
saurabh chaudhari,"Sanjyot hindi caption mein pulao spelling correct karlo 
Btw nice recipe. I've already aaj my wife to prepare this tomorrow. ",1
Devang Jadav,please share Raita recipe. or link,1
Dk Memes Box,Sir plz make mutton koftas recipe,1
Yana Kawa,Sir Apne non Biryani ki recipe share ki hai par jo veg hai unke liye plz veg dum Biryani ki recipe share kijiye na plz,1
Minal Karva,U are the best.,1
Riya Pojage,ok so 5 marks extra for the camera person,1
Vaishali Gandhi,Super cool,1
Seema Shetye,"Super super 
मस्त ",1
aqdas bangi,"Tandoori salad, the salad served with chicken Tandoori or Tikkas at Restaurant. Authentic recipe please",1
Prerna Sharma,Love rice,1
AM,Hi there is inconsistency with regards to preparation of rice. Written recipe ask to par boil for 3 to  4 minutes while video demonstrates complete cooking of rice for 10 to 12 minutes. Kindly clarify. Wish to try  your tawa pulao / my first tawa pulao.,1
Paresh Patil,Super good resapi,1
Yunus Shaikh,Nice Sir I will try,1
Pranjal pandey,"Chef : ab tawa pulav and chutney ready ho chuki h 
Me : to de do khane ko bhut buk lg rhi",1
Vivek Vinchure,Shev bhaji recipe is need for rainy season please send recipe ,1
Sana Sayed,Best,1
Bhavi Shah,Wow.. yummy ..pl share from where u buy tava..big one jeee....pl send the link....to buy tava,1
nehal shah,Love ️ you ,1
Shaikh danista,Plz ..... Gujarat thali ...,1
mehjabeen shaikh,chef tiffin recipe batao na please,1
Neeta parmar,Hi sir kya? aap jain recipes  or jain manchow soup premix recipe  banana sikha sakte hai  please  please  riplay,1
Hanifa Babuna,Please tell me who to make raita? ,1
Sohil Malek,Bhai zam zam biryani banao Please,1
Manjra Kulsum,Agr sabut vali kashmiri lal mirch na ho to kya kare plz batade aap hame... sabut vali hamre yaha nahi milti powder hi milta hai   isiliye plz recommended,1
Kalpana Rathod,Aap ne tawa kaha se order Kiya hai pls reply fast pls pls .....,1
ShashiShekhar Tripathi,"Caution - If you have inflammatory bowel disease then please don't eat it, my personal experience.",1
NEELU KASHYAP,Chicken changezi's racipe plz sir plz plz,1
Lalita Vavia,Very good beta tawa pulao,1
Chitrangada,Bhai please dont mind but aap na unhealthy recipes ko kind of promote karte ho!!,1
Vijay More,Please location,1
dragon master,When is the next opportunity to meet u in ur studio??,1
Laxmi Ki Rasoi Se,Mana Mera kitchen ka itna Achcha background Nahin Hai non stick bartan and look by achha nahi hai but main bahut hi mehnat ke sath recipe Banakar taiyar Karti hun per pata nahin kahan kamiyan hain bus Nahin a rahe hain please mujhe support Karen please please,1
Maulik Morzaria,Achijha inspired ??,1
hasitha cheruku,It dint turn out good for me this time.,1
Rushikesh Alhat,Like before watch,1
Laxmi Ki Rasoi Se,"Mera channel hai ,Laxmi Ki Rasoi Se ,main bahut mehnat ke sath videos dalti hun per view Si Nahin Aate aap ek bar Dekhen please aur bataen kahan Kami hai",1
sanober alware,You work incredibly hard and hence ur recipes are incredible! MashaAllah,-1
Shamila Vaz,I'm watching this past midnight. It's raining outside. My mouth is watering & I can't sleep. I wish I could make this dish right away. ,-1
Kanchan Kohale,During this monsoon this recipe is gonna killed it....,-1
Aditya Sudrik,Classic Spicy I'm jealous on you You always makes such a classic recipes and here we're can't stop to trylove you  sir,-1
obiazmi,"I miss having this with friends at Amar Juice center, Vile Parle Mumbai.. ️",-1
Tejasvi,Hey can you make veg biryani too. I know you have old videos for the same but they dont include tips and tricks. Can you pls make an updated version?,-1
Syed Zaidi,Omg waqi chef its a amazing tym kia bat ha ap ki ap jesa chef abhi tk ni dekha kia kmal recipe bnaty ho,-1
shahipurawala Shabana,"very tasty lag raha h sar 
sar aapka tawa bahot hi acha h 
iske bareme bataiye kahase kharida",-1
Jasnoor Singh,Fried chicken recipe YFL Style awaited :/,-1
Rudramakwana arts,Iron ki kadai me ban jayega kya,-1
Shreya Tapadia,Why is it so sticky tawa pulao kum pav bhaji zyada lag rahi hai,-1
Jaimin Sorathiya,Ye bohat hi achha banaya hai apne sach me but ye bohat unhealthy food hai jyada batter jyada tel aur masale vala bohat hi unhealthy hota hai aur apke sabhi recipe me ye jyada hi hota hai ghar par banao ya bahar se lao jo jarurat se jyada hai wo unhethy  hi hoga......I am really sorry muje apse koy sikayat nahi but fir bhi bola,-1
Aayushi Fauzdar,These red color tawa pulao doesn't have taste plus they are spicy for no reason...looks dirty,-1
Kavitha Arumugam,No word aaaaaahhhhhaaaaaaa,-1
Nidhi Varun,I dont like garlic,-1
ke shula,"stinky rice, made me throw up. had to throw it away or donate.",-1
